CustomerID,Region,TownSize,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber
3964-QJWTRG-NPN,1,2,Female,20,15,Professional,Yes,0,No," $31,000.00 ",11.1,1.200909,2.240091,Yes,Unmarried,3,0,0,0,0,0,2,Own,Domestic," $14,300.00 ",22,Yes,Yes,Mast,2,5, $816.60 ,No,5, $19.50 , $34.40 ,Yes, $29.50 , $126.10 ,Yes,No, $-   , $-   ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,13,No,Yes,Yes,No,No
0648-AIPJSP-UVM,5,5,Male,22,17,Sales,No,0,No," $15,000.00 ",18.6,1.22202,1.56798,Yes,Unmarried,2,6,0,0,0,1,2,Own,Foreign," $6,800.00 ",29,Yes,No,Visa,4,5, $426.00 ,Yes,39, $26.70 , $330.60 ,Yes, $54.85 ," $1,975.00 ",Yes,Yes, $45.65 ," $1,683.55 ",Yes,Yes,Yes,4,Yes,No,Yes,No,Yes,18,Yes,Yes,Yes,Yes,Yes
5195-TLUDJE-HVO,3,4,Female,67,14,Sales,No,16,No," $35,000.00 ",9.9,0.92862,2.53638,No,Married,3,3,2,1,0,1,3,Own,Foreign," $18,800.00 ",24,Yes,No,Visa,35,9," $1,842.20 ",No,65, $85.20 ," $1,858.35 ",No, $-   , $-   ,Yes,No, $-   , $-   ,Yes,No,No,No,No,No,No,No,No,21,No,No,No,No,Yes
4459-VLPQUH-3OL,4,3,Male,23,16,Sales,No,0,No," $20,000.00 ",5.7,0.0228,1.1172,Yes,Married,5,0,0,0,0,1,3,Own,Foreign," $8,700.00 ",38,No,No,Visa,5,17," $3,409.90 ",Yes,36, $18.00 , $199.45 ,No, $-   , $-   ,Yes,No, $-   , $-   ,Yes,No,No,2,No,No,No,No,Yes,26,Yes,Yes,Yes,No,Yes
8158-SMTQFB-CNO,2,2,Male,26,16,Sales,No,1,No," $23,000.00 ",1.7,0.214659,0.176341,No,Married,4,0,0,0,0,0,1,Lease,Foreign," $10,600.00 ",32,No,No,Disc,8,8," $2,551.00 ",Yes,21, $9.15 , $74.10 ,No, $-   , $-   ,Yes,Yes, $19.05 , $410.80 ,No,Yes,No,3,Yes,Yes,Yes,Yes,No,27,Yes,No,Yes,No,No
9662-FUSYIM-1IV,4,4,Male,64,17,Service,No,22,No," $107,000.00 ",5.6,1.060584,4.931416,No,Unmarried,1,11,1,1,0,1,0,-1,-1," $(1,000.00)",23,No,No,Visa,18,11," $2,282.70 ",No,28, $24.30 , $264.90 ,Yes, $35.50 , $970.95 ,Yes,No, $-   , $-   ,No,No,Yes,No,Yes,Yes,Yes,Yes,No,21,No,No,No,No,No
7432-QKQFJJ-K72,2,5,Female,52,14,Professional,No,10,No," $77,000.00 ",1.9,0.501809,0.961191,No,Unmarried,1,2,0,2,0,0,2,Own,Domestic," $25,600.00 ",32,No,No,Othe,3,20," $8,223.20 ",No,15, $11.40 , $44.80 ,No, $-   , $-   ,No,No, $-   , $-   ,No,No,No,Yes,No,No,Yes,No,No,19,Yes,Yes,No,No,No
8959-RZWRHU-ST8,3,4,Female,44,16,Professional,No,11,No," $97,000.00 ",14.4,5.950368,8.017632,No,Married,2,10,0,2,0,1,1,Own,Domestic," $55,500.00 ",31,No,Yes,AMEX,25,6," $5,927.00 ",No,46, $44.55 , $612.70 ,No, $-   , $-   ,Yes,No, $-   , $-   ,Yes,No,No,No,Yes,Yes,Yes,Yes,No,13,No,No,No,No,Yes
9124-DZALHM-S6I,2,3,Female,66,12,Professional,No,15,Yes," $16,000.00 ",2.6,0.102336,0.313664,No,Unmarried,1,1,1,0,0,1,1,Own,Foreign," $8,600.00 ",25,Yes,Yes,Mast,26,12," $3,265.90 ",Yes,53, $63.15 ," $1,074.35 ",No, $-   , $-   ,Yes,No, $-   , $-   ,Yes,No,No,No,No,No,No,No,No,25,No,No,No,No,No
3512-MUWBGY-52X,2,2,Male,47,11,Labor,No,19,No," $84,000.00 ",4.1,1.770216,1.673784,No,Unmarried,2,1,1,0,0,1,4,Own,Domestic," $41,000.00 ",29,Yes,Yes,Othe,2,11," $1,996.40 ",Yes,3, $10.95 , $20.05 ,No, $-   , $-   ,No,No, $-   , $-   ,No,No,No,No,No,No,No,No,No,21,No,No,No,No,No
5621-QSZPSF-NF2,4,1,Female,59,19,Professional,No,8,No," $47,000.00 ",8.6,1.358112,2.683888,No,Unmarried,1,7,3,0,0,0,3,Own,Domestic," $28,000.00 ",17,No,Yes,Disc,16,11," $4,889.70 ",No,50, $25.65 , $446.55 ,Yes, $31.20 ," $1,568.35 ",Yes,No, $-   , $-   ,Yes,No,No,3,No,Yes,No,No,Yes,26,Yes,Yes,No,No,No
8241-PWPONH-62O,2,4,Female,33,8,Sales,No,4,No," $19,000.00 ",0.9,0.130131,0.040869,No,Married,5,6,0,0,0,0,2,Own,Foreign," $9,300.00 ",28,No,No,Mast,6,14," $3,382.60 ",No,9, $10.80 , $37.00 ,No, $-   , $-   ,No,No, $-   , $-   ,No,No,No,No,No,No,No,No,No,27,No,No,No,No,No
8795-FYOXCT-P09,5,2,Male,44,10,Professional,No,12,No," $73,000.00 ",2.8,1.250928,0.793072,No,Unmarried,1,1,0,1,0,1,1,Own,Foreign," $38,500.00 ",25,Yes,Yes,Disc,1,12," $5,343.60 ",No,5, $20.25 , $29.90 ,No, $-   , $-   ,Yes,No, $-   , $-   ,No,No,No,Yes,Yes,Yes,Yes,Yes,No,21,Yes,No,No,No,No
1705-NMIQNO-IC4,3,2,Male,58,18,Professional,No,3,No," $63,000.00 ",10.5,1.924965,4.690035,No,Unmarried,1,0,0,0,0,1,0,-1,-1," $(1,000.00)",16,No,Yes,Disc,25,10," $5,935.00 ",Yes,58, $36.30 , $680.75 ,No, $-   , $-   ,Yes,No, $-   , $-   ,Yes,No,No,No,Yes,No,Yes,Yes,No,21,Yes,No,No,No,Yes
9205-PAZEXY-90Q,2,1,Female,72,20,Agriculture,Yes,27,Yes," $17,000.00 ",9.8,1.276156,0.389844,No,Married,2,0,0,0,0,1,1,Own,Foreign," $9,300.00 ",32,Yes,Yes,Mast,33,12," $2,331.70 ",Yes,67, $41.70 , $954.05 ,Yes, $38.55 ," $2,580.75 ",Yes,No, $-   , $-   ,Yes,No,No,No,No,No,Yes,No,Yes,24,Yes,No,Yes,Yes,Yes
4225-PZZDIY-IBH,3,1,Female,66,13,Labor,Yes,31,Yes," $23,000.00 ",9.3,0.934743,1.204257,No,Married,2,9,3,0,0,0,3,Own,Domestic," $11,600.00 ",14,Yes,Yes,Mast,40,9," $2,974.70 ",No,72, $116.10 ," $2,854.90 ",No, $-   , $-   ,Yes,Yes, $43.25 ," $3,159.25 ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,22,Yes,No,No,Yes,Yes
0758-EQEGIQ-3OF,1,1,Female,57,17,Agriculture,No,24,No," $171,000.00 ",9.5,1.803195,14.441805,No,Married,3,1,0,1,0,1,2,Own,Foreign," $75,800.00 ",19,Yes,No,Disc,19,14," $3,059.40 ",Yes,48, $12.45 , $214.85 ,Yes, $43.15 ," $1,990.25 ",Yes,Yes, $40.20 ," $1,840.45 ",No,Yes,Yes,3,Yes,Yes,No,Yes,Yes,17,Yes,Yes,Yes,Yes,No
0649-TBFJFL-QU4,5,2,Male,63,14,Labor,Yes,29,No," $424,000.00 ",10.7,13.111352,32.256648,No,Married,2,0,0,0,0,1,3,Own,Domestic," $88,600.00 ",29,No,Yes,Mast,36,10," $4,957.50 ",No,70, $104.40 ," $2,540.15 ",No, $-   , $-   ,Yes,No, $-   , $-   ,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,24,No,No,No,No,Yes
2228-KOLOPU-FY3,5,5,Female,28,11,Professional,No,4,No," $23,000.00 ",4.8,0.190992,0.913008,No,Married,3,10,1,0,0,1,0,-1,-1," $(1,000.00)",30,Yes,No,Visa,10,17," $4,420.90 ",Yes,34, $10.35 , $110.45 ,No, $-   , $-   ,Yes,No, $-   , $-   ,No,No,No,No,Yes,Yes,Yes,Yes,No,16,No,No,No,No,No
