,CustomerID,Region,TownSize,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber,Gender_num,LoanDefault_num,DebtToIncomeRatio_Recoded,Age_Recoded,PhoneCoTenure_Coded,OwnsMobileDevice_Coded,HomeOwner2,VoiceLastMonth_Coded,CardSpendMonth_cat,EquipmentOverTenure_cat,CarValue_cat
0,3964-QJWTRG-NPN,1,2,Female,20,15,Professional,Yes,0,No,31000.0,11.1,1.200909,2.240091,1,2,3.0,0.0,0.0,0.0,0.0,0.0,2,Own,Domestic,14300.0,22,Yes,Yes,Mast,2,5,816.6,No,5, $19.50 , $34.40 ,Yes, $29.50 ,126.1,Yes,0, $-   ,1,Yes,Yes,Yes,0,No,Yes,Yes,Yes,No,13,No,Yes,Yes,No,No,2.0,1,3,1,1,2,1.0,19.5,1,1,1
1,0648-AIPJSP-UVM,5,5,Male,22,17,Sales,No,0,No,15000.0,18.6,1.22202,1.56798,1,2,2.0,6.0,0.0,0.0,0.0,1.0,2,Own,Foreign,6800.0,29,Yes,No,Visa,4,5,426.0,Yes,39, $26.70 , $330.60 ,Yes, $54.85 ,1975.0,Yes,1, $45.65 ,1,Yes,Yes,Yes,4,Yes,No,Yes,No,Yes,18,Yes,Yes,Yes,Yes,Yes,1.0,1,4,1,3,2,2.0,26.7,1,2,1
2,5195-TLUDJE-HVO,3,4,Female,67,14,Sales,No,16,No,35000.0,9.9,0.92862,2.53638,2,1,3.0,3.0,2.0,1.0,0.0,1.0,3,Own,Foreign,18800.0,24,Yes,No,Visa,35,9,1842.2,No,65, $85.20 ," $1,858.35 ",No, $-   ,0.0,Yes,0, $-   ,1,Yes,No,No,0,No,No,No,No,No,21,No,No,No,No,Yes,2.0,2,2,4,4,1,2.0,85.2,1,1,1
3,4459-VLPQUH-3OL,4,3,Male,23,16,Sales,No,0,No,20000.0,5.7,0.0228,1.1172,1,1,5.0,0.0,0.0,0.0,0.0,1.0,3,Own,Foreign,8700.0,38,No,No,Visa,5,17,3409.9,Yes,36, $18.00 , $199.45 ,No, $-   ,0.0,Yes,0, $-   ,1,Yes,No,No,2,No,No,No,No,Yes,26,Yes,Yes,Yes,No,Yes,1.0,1,2,1,2,2,2.0,18.0,1,1,1
4,8158-SMTQFB-CNO,2,2,Male,26,16,Sales,No,1,No,23000.0,1.7,0.214659,0.176341,2,1,4.0,0.0,0.0,0.0,0.0,0.0,1,Lease,Foreign,10600.0,32,No,No,Disc,8,8,2551.0,Yes,21, $9.15 , $74.10 ,No, $-   ,0.0,Yes,1, $19.05 ,1,No,Yes,No,3,Yes,Yes,Yes,Yes,No,27,Yes,No,Yes,No,No,1.0,2,1,1,2,1,1.0,9.15,1,1,1
5,9662-FUSYIM-1IV,4,4,Male,64,17,Service,No,22,No,107000.0,5.6,1.060584,4.931416,2,2,1.0,11.0,1.0,1.0,0.0,1.0,0,-1,-1,1000.0,23,No,No,Visa,18,11,2282.7,No,28, $24.30 , $264.90 ,Yes, $35.50 ,970.95,Yes,0, $-   ,1,No,No,Yes,0,Yes,Yes,Yes,Yes,No,21,No,No,No,No,No,1.0,2,2,4,2,1,2.0,24.3,1,1,1
6,7432-QKQFJJ-K72,2,5,Female,52,14,Professional,No,10,No,77000.0,1.9,0.501809,0.961191,2,2,1.0,2.0,0.0,2.0,0.0,0.0,2,Own,Domestic,25600.0,32,No,No,Othe,3,20,8223.2,No,15, $11.40 , $44.80 ,No, $-   ,0.0,No,0, $-   ,1,No,No,No,1,No,No,Yes,No,No,19,Yes,Yes,No,No,No,2.0,2,1,3,1,2,1.0,11.4,1,1,1
7,8959-RZWRHU-ST8,3,4,Female,44,16,Professional,No,11,No,97000.0,14.4,5.950368,8.017632,2,1,2.0,10.0,0.0,2.0,0.0,1.0,1,Own,Domestic,55500.0,31,No,Yes,AMEX,25,6,5927.0,No,46, $44.55 , $612.70 ,No, $-   ,0.0,Yes,0, $-   ,1,Yes,No,No,0,Yes,Yes,Yes,Yes,No,13,No,No,No,No,Yes,2.0,2,3,2,3,1,2.0,44.55,1,1,3
8,9124-DZALHM-S6I,2,3,Female,66,12,Professional,No,15,Yes,16000.0,2.6,0.102336,0.313664,2,2,1.0,1.0,1.0,0.0,0.0,1.0,1,Own,Foreign,8600.0,25,Yes,Yes,Mast,26,12,3265.9,Yes,53, $63.15 ," $1,074.35 ",No, $-   ,0.0,Yes,0, $-   ,1,Yes,No,No,0,No,No,No,No,No,25,No,No,No,No,No,2.0,2,1,4,3,1,2.0,63.15,1,1,1
9,3512-MUWBGY-52X,2,2,Male,47,11,Labor,No,19,No,84000.0,4.1,1.770216,1.673784,2,2,2.0,1.0,1.0,0.0,0.0,1.0,4,Own,Domestic,41000.0,29,Yes,Yes,Othe,2,11,1996.4,Yes,3, $10.95 , $20.05 ,No, $-   ,0.0,No,0, $-   ,1,No,No,No,0,No,No,No,No,No,21,No,No,No,No,No,1.0,2,1,2,1,1,2.0,10.95,1,1,2
10,5621-QSZPSF-NF2,4,1,Female,59,19,Professional,No,8,No,47000.0,8.6,1.358112,2.683888,2,2,1.0,7.0,3.0,0.0,0.0,0.0,3,Own,Domestic,28000.0,17,No,Yes,Disc,16,11,4889.7,No,50, $25.65 , $446.55 ,Yes, $31.20 ,1568.35,Yes,0, $-   ,1,Yes,No,No,3,No,Yes,No,No,Yes,26,Yes,Yes,No,No,No,2.0,2,2,3,3,2,1.0,25.65,1,1,2
11,8241-PWPONH-62O,2,4,Female,33,8,Sales,No,4,No,19000.0,0.9,0.130131,0.040869,2,1,5.0,6.0,0.0,0.0,0.0,0.0,2,Own,Foreign,9300.0,28,No,No,Mast,6,14,3382.6,No,9, $10.80 , $37.00 ,No, $-   ,0.0,No,0, $-   ,1,No,No,No,0,No,No,No,No,No,27,No,No,No,No,No,2.0,2,1,2,1,1,1.0,10.8,1,1,1
