gutenberg_id,text,document
36,I.,The War of the Worlds_1
36,THE EVE OF THE WAR.,The War of the Worlds_1
36,,The War of the Worlds_1
36,,The War of the Worlds_1
36,No one would have believed in the last years of the nineteenth century,The War of the Worlds_1
36,that this world was being watched keenly and closely by intelligences,The War of the Worlds_1
36,greater than man’s and yet as mortal as his own; that as men busied,The War of the Worlds_1
36,themselves about their various concerns they were scrutinised and,The War of the Worlds_1
36,"studied, perhaps almost as narrowly as a man with a microscope might",The War of the Worlds_1
36,scrutinise the transient creatures that swarm and multiply in a drop of,The War of the Worlds_1
36,water. With infinite complacency men went to and fro over this globe,The War of the Worlds_1
36,"about their little affairs, serene in their assurance of their empire",The War of the Worlds_1
36,over matter. It is possible that the infusoria under the microscope do,The War of the Worlds_1
36,the same. No one gave a thought to the older worlds of space as sources,The War of the Worlds_1
36,"of human danger, or thought of them only to dismiss the idea of life",The War of the Worlds_1
36,upon them as impossible or improbable. It is curious to recall some of,The War of the Worlds_1
36,the mental habits of those departed days. At most terrestrial men,The War of the Worlds_1
36,"fancied there might be other men upon Mars, perhaps inferior to",The War of the Worlds_1
36,themselves and ready to welcome a missionary enterprise. Yet across the,The War of the Worlds_1
36,"gulf of space, minds that are to our minds as ours are to those of the",The War of the Worlds_1
36,"beasts that perish, intellects vast and cool and unsympathetic,",The War of the Worlds_1
36,"regarded this earth with envious eyes, and slowly and surely drew their",The War of the Worlds_1
36,plans against us. And early in the twentieth century came the great,The War of the Worlds_1
36,disillusionment.,The War of the Worlds_1
36,,The War of the Worlds_1
36,"The planet Mars, I scarcely need remind the reader, revolves about the",The War of the Worlds_1
36,"sun at a mean distance of 140,000,000 miles, and the light and heat it",The War of the Worlds_1
36,receives from the sun is barely half of that received by this world. It,The War of the Worlds_1
36,"must be, if the nebular hypothesis has any truth, older than our world;",The War of the Worlds_1
36,"and long before this earth ceased to be molten, life upon its surface",The War of the Worlds_1
36,must have begun its course. The fact that it is scarcely one seventh of,The War of the Worlds_1
36,the volume of the earth must have accelerated its cooling to the,The War of the Worlds_1
36,temperature at which life could begin. It has air and water and all,The War of the Worlds_1
36,that is necessary for the support of animated existence.,The War of the Worlds_1
36,,The War of the Worlds_1
36,"Yet so vain is man, and so blinded by his vanity, that no writer, up to",The War of the Worlds_1
36,"the very end of the nineteenth century, expressed any idea that",The War of the Worlds_1
36,"intelligent life might have developed there far, or indeed at all,",The War of the Worlds_1
36,beyond its earthly level. Nor was it generally understood that since,The War of the Worlds_1
36,"Mars is older than our earth, with scarcely a quarter of the",The War of the Worlds_1
36,"superficial area and remoter from the sun, it necessarily follows that",The War of the Worlds_1
36,it is not only more distant from time’s beginning but nearer its end.,The War of the Worlds_1
36,,The War of the Worlds_1
36,The secular cooling that must someday overtake our planet has already,The War of the Worlds_1
36,gone far indeed with our neighbour. Its physical condition is still,The War of the Worlds_1
36,"largely a mystery, but we know now that even in its equatorial region",The War of the Worlds_1
36,the midday temperature barely approaches that of our coldest winter.,The War of the Worlds_1
36,"Its air is much more attenuated than ours, its oceans have shrunk until",The War of the Worlds_1
36,"they cover but a third of its surface, and as its slow seasons change",The War of the Worlds_1
36,huge snowcaps gather and melt about either pole and periodically,The War of the Worlds_1
36,"inundate its temperate zones. That last stage of exhaustion, which to",The War of the Worlds_1
36,"us is still incredibly remote, has become a present-day problem for the",The War of the Worlds_1
36,inhabitants of Mars. The immediate pressure of necessity has brightened,The War of the Worlds_1
36,"their intellects, enlarged their powers, and hardened their hearts. And",The War of the Worlds_1
36,"looking across space with instruments, and intelligences such as we",The War of the Worlds_1
36,"have scarcely dreamed of, they see, at its nearest distance only",The War of the Worlds_1
36,"35,000,000 of miles sunward of them, a morning star of hope, our own",The War of the Worlds_1
36,"warmer planet, green with vegetation and grey with water, with a cloudy",The War of the Worlds_1
36,"atmosphere eloquent of fertility, with glimpses through its drifting",The War of the Worlds_1
36,"cloud wisps of broad stretches of populous country and narrow,",The War of the Worlds_1
36,navy-crowded seas.,The War of the Worlds_1
36,,The War of the Worlds_1
36,"And we men, the creatures who inhabit this earth, must be to them at",The War of the Worlds_1
36,least as alien and lowly as are the monkeys and lemurs to us. The,The War of the Worlds_1
36,intellectual side of man already admits that life is an incessant,The War of the Worlds_1
36,"struggle for existence, and it would seem that this too is the belief",The War of the Worlds_1
36,of the minds upon Mars. Their world is far gone in its cooling and this,The War of the Worlds_1
36,"world is still crowded with life, but crowded only with what they",The War of the Worlds_1
36,"regard as inferior animals. To carry warfare sunward is, indeed, their",The War of the Worlds_1
36,"only escape from the destruction that, generation after generation,",The War of the Worlds_1
36,creeps upon them.,The War of the Worlds_1
36,,The War of the Worlds_1
36,And before we judge of them too harshly we must remember what ruthless,The War of the Worlds_1
36,"and utter destruction our own species has wrought, not only upon",The War of the Worlds_1
36,"animals, such as the vanished bison and the dodo, but upon its inferior",The War of the Worlds_1
36,"races. The Tasmanians, in spite of their human likeness, were entirely",The War of the Worlds_1
36,swept out of existence in a war of extermination waged by European,The War of the Worlds_1
36,"immigrants, in the space of fifty years. Are we such apostles of mercy",The War of the Worlds_1
36,as to complain if the Martians warred in the same spirit?,The War of the Worlds_1
36,,The War of the Worlds_1
36,The Martians seem to have calculated their descent with amazing,The War of the Worlds_1
36,subtlety—their mathematical learning is evidently far in excess of,The War of the Worlds_1
36,ours—and to have carried out their preparations with a well-nigh,The War of the Worlds_1
36,"perfect unanimity. Had our instruments permitted it, we might have seen",The War of the Worlds_1
36,the gathering trouble far back in the nineteenth century. Men like,The War of the Worlds_1
36,"Schiaparelli watched the red planet—it is odd, by-the-bye, that for",The War of the Worlds_1
36,countless centuries Mars has been the star of war—but failed to,The War of the Worlds_1
36,interpret the fluctuating appearances of the markings they mapped so,The War of the Worlds_1
36,well. All that time the Martians must have been getting ready.,The War of the Worlds_1
36,,The War of the Worlds_1
36,During the opposition of 1894 a great light was seen on the illuminated,The War of the Worlds_1
36,"part of the disk, first at the Lick Observatory, then by Perrotin of",The War of the Worlds_1
36,"Nice, and then by other observers. English readers heard of it first in",The War of the Worlds_1
36,the issue of _Nature_ dated August 2. I am inclined to think that this,The War of the Worlds_1
36,"blaze may have been the casting of the huge gun, in the vast pit sunk",The War of the Worlds_1
36,"into their planet, from which their shots were fired at us. Peculiar",The War of the Worlds_1
36,"markings, as yet unexplained, were seen near the site of that outbreak",The War of the Worlds_1
36,during the next two oppositions.,The War of the Worlds_1
36,,The War of the Worlds_1
36,The storm burst upon us six years ago now. As Mars approached,The War of the Worlds_1
36,"opposition, Lavelle of Java set the wires of the astronomical exchange",The War of the Worlds_1
36,palpitating with the amazing intelligence of a huge outbreak of,The War of the Worlds_1
36,incandescent gas upon the planet. It had occurred towards midnight of,The War of the Worlds_1
36,"the twelfth; and the spectroscope, to which he had at once resorted,",The War of the Worlds_1
36,"indicated a mass of flaming gas, chiefly hydrogen, moving with an",The War of the Worlds_1
36,enormous velocity towards this earth. This jet of fire had become,The War of the Worlds_1
36,invisible about a quarter past twelve. He compared it to a colossal,The War of the Worlds_1
36,"puff of flame suddenly and violently squirted out of the planet, “as",The War of the Worlds_1
36,flaming gases rushed out of a gun.”,The War of the Worlds_1
36,,The War of the Worlds_1
36,A singularly appropriate phrase it proved. Yet the next day there was,The War of the Worlds_1
36,nothing of this in the papers except a little note in the _Daily,The War of the Worlds_1
36,"Telegraph_, and the world went in ignorance of one of the gravest",The War of the Worlds_1
36,dangers that ever threatened the human race. I might not have heard of,The War of the Worlds_1
36,"the eruption at all had I not met Ogilvy, the well-known astronomer, at",The War of the Worlds_1
36,"Ottershaw. He was immensely excited at the news, and in the excess of",The War of the Worlds_1
36,his feelings invited me up to take a turn with him that night in a,The War of the Worlds_1
36,scrutiny of the red planet.,The War of the Worlds_1
36,,The War of the Worlds_1
36,"In spite of all that has happened since, I still remember that vigil",The War of the Worlds_1
36,"very distinctly: the black and silent observatory, the shadowed lantern",The War of the Worlds_1
36,"throwing a feeble glow upon the floor in the corner, the steady ticking",The War of the Worlds_1
36,"of the clockwork of the telescope, the little slit in the roof—an",The War of the Worlds_1
36,oblong profundity with the stardust streaked across it. Ogilvy moved,The War of the Worlds_1
36,"about, invisible but audible. Looking through the telescope, one saw a",The War of the Worlds_1
