UNITID,XF2A01,F2A01,XF2A19,F2A19,XF2A20,F2A20,XF2A02,F2A02,XF2A03,F2A03,XF2A03A,F2A03A,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A05B,F2A05B,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A15,F2A15,XF2A16,F2A16,XF2A17,F2A17,XF2A18,F2A18,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2C10,F2C10,XF2D01,F2D01,XF2D012,F2D012,XF2D013,F2D013,XF2D014,F2D014,XF2D02,F2D02,XF2D022,F2D022,XF2D023,F2D023,XF2D024,F2D024,XF2D03,F2D03,XF2D032,F2D032,XF2D033,F2D033,XF2D034,F2D034,XF2D04,F2D04,XF2D042,F2D042,XF2D043,F2D043,XF2D044,F2D044,XF2D05,F2D05,XF2D052,F2D052,XF2D053,F2D053,XF2D054,F2D054,XF2D06,F2D06,XF2D062,F2D062,XF2D063,F2D063,XF2D064,F2D064,XF2D07,F2D07,XF2D072,F2D072,XF2D073,F2D073,XF2D074,F2D074,XF2D08,F2D08,XF2D082,F2D082,XF2D083,F2D083,XF2D084,F2D084,XF2D08A,F2D08A,XF2D082A,F2D082A,XF2D083A,F2D083A,XF2D084A,F2D084A,XF2D08B,F2D08B,XF2D082B,F2D082B,XF2D083B,F2D083B,XF2D084B,F2D084B,XF2D09,F2D09,XF2D092,F2D092,XF2D093,F2D093,XF2D094,F2D094,XF2D10,F2D10,XF2D102,F2D102,XF2D103,F2D103,XF2D104,F2D104,XF2D11,F2D11,XF2D112,F2D112,XF2D12,F2D12,XF2D122,F2D122,XF2D13,F2D13,XF2D132,F2D132,XF2D14,F2D14,XF2D142,F2D142,XF2D143,F2D143,XF2D144,F2D144,XF2D15,F2D15,XF2D152,F2D152,XF2D153,F2D153,XF2D154,F2D154,XF2D16,F2D16,XF2D162,F2D162,XF2D163,F2D163,XF2D164,F2D164,XF2D17,F2D17,XF2D172,F2D172,XF2D173,F2D173,XF2D174,F2D174,XF2D18,F2D18,XF2D182,F2D182,XF2D183,F2D183,XF2D184,F2D184,XF2E011,F2E011,XF2E012,F2E012,XF2E021,F2E021,XF2E022,F2E022,XF2E031,F2E031,XF2E032,F2E032,XF2E041,F2E041,XF2E042,F2E042,XF2E051,F2E051,XF2E052,F2E052,XF2E061,F2E061,XF2E062,F2E062,XF2E071,F2E071,XF2E072,F2E072,XF2E081,F2E081,XF2E091,F2E091,XF2E092,F2E092,XF2E101,F2E101,XF2E102,F2E102,XF2E121,F2E121,XF2E122,F2E122,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,F2FHA,XF2H01,F2H01,XF2H02,F2H02   
100690,"R",9384788,"R",2634979,"R",0,"R",14438530,"R",2487355,"R",1296697,"R",11242127,"R",709048,"R",174805,"R",534243,"R",11951175,"R",1340626,"R",942329,"R",2981180,"R",0,"R",0,"R",5264135,"R",2629156,"R",9710803,"R",7286508,"R",0,"R",2424295,"R",9526880,"R",0,"R",11951175,"R",1329108,"R",13710,"R",0,"R",0,"R",0,"R",911403,"R",2254221,"R",911403,"R",0,"R",911403,"R",8266939,"R",8266939,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13100,"R",13100,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1356808,"R",1341246,"R",15562,"R",0,"R",1356808,"R",1341246,"R",15562,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",15667,"R",19255,"R",-3588,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",58289,"R",58289,"R",0,"R",0,"R",9710803,"R",9698829,"R",11974,"R",0,"R",0,"R",-11974,"R",11974,"R",0,"R",9710803,"R",9686855,"R",23948,"R",0,"R",2643349,"R",1667228,"R",0,"R",0,"R",0,"R",0,"R",621973,"R",490323,"R",1018888,"R",839393,"R",3002298,"R",1122747,"R",0,"Z",0,"R",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",7286508,"R",4119691,"R",452698,"R",116112,"R",99975,"R",80936,"R",2417096, 1,"R",174804,"R",174805
100937,"R",50743827,"R",89400865,"Z",0,"R",159285516,"R",47756472,"R",34000110,"R",53054909,"R",58474135,"R",7669338,"R",50804797,"R",111529044,"R",25314515,"R",153424887,"R",30747546,"Z",0,"Z",0,"R",209486948,"R",120086083,"R",35072980,"R",45928718,"R",0,"R",-10855738,"R",122384782,"R",0,"R",111529044,"R",1418503,"R",100300,"Z",0,"Z",0,"R",5093431,"R",3524528,"R",10136762,"R",8617959,"Z",0,"R",8617959,"R",13802483,"R",13802483,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",164694,"R",164694,"R",0,"R",0,"R",19194,"R",19194,"Z",0,"Z",0,"R",20000,"R",20000,"Z",0,"Z",0,"R",5673249,"R",1551678,"R",2450681,"R",1670890,"R",5527428,"R",1405857,"R",2450681,"R",1670890,"R",145821,"R",145821,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",-720385,"R",43386,"R",190950,"R",-954721,"Z",0,"Z",0,"R",14832015,"R",14832015,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1281730,"R",955032,"R",326698,"R",0,"R",35072980,"R",31388482,"R",2968329,"R",716169,"R",0,"R",8515400,"R",-8515400,"Z",0,"R",35072980,"R",39903882,"R",-5547071,"R",716169,"R",14632476,"R",8987036,"R",0,"R",0,"R",0,"R",0,"R",3819949,"R",727382,"R",9163696,"R",3933617,"R",8731750,"R",3967512,"R",9259613,"R",646182,"R",321234,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",45928718,"R",18261729,"R",4153696,"R",5516742,"R",3002268,"R",1916140,"R",13078143, 1,"R",56701074,"R",53117638
101189,"R",20868071,"R",53530199,"Z",0,"R",89941892,"R",42026935,"R",33512123,"R",29345184,"R",18569773,"R",13162812,"R",5406961,"R",47914957,"R",6606644,"R",68164170,"R",28710749,"R",526138,"Z",0,"R",104007701,"R",50477502,"R",42795009,"R",43859630,"R",0,"R",-1064621,"R",48979578,"R",0,"R",47914957,"R",6349010,"R",590887,"R",1102127,"Z",0,"R",524071,"R",11832227,"R",20398322,"R",11709628,"R",991997,"R",12701625,"R",33557876,"R",33557876,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1107772,"R",0,"R",1107772,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4044138,"R",2637362,"R",1200068,"R",206708,"R",4044138,"R",2637362,"R",1200068,"R",206708,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",25492,"R",23275,"R",-120529,"R",122746,"Z",0,"Z",0,"R",3068443,"R",3068443,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",991288,"R",967330,"R",23958,"R",0,"R",42795009,"R",40254286,"R",2211269,"R",329454,"R",0,"R",2278664,"R",-2278664,"R",0,"R",42795009,"R",42532950,"R",-67395,"R",329454,"R",17737113,"R",11062950,"Z",0,"Z",0,"Z",0,"Z",0,"R",2776177,"R",1143702,"R",9502427,"R",3498900,"R",8164777,"R",2808074,"R",4304695,"R",226360,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1374441,"R",0,"R",43859630,"R",18739986,"R",4314756,"R",4035794,"R",2544057,"R",1374441,"R",12850596, 1,"R",18900744,"R",18492390
101365,"R",0,"R",3242987,"R",0,"R",9435073,"R",3717479,"R",0,"R",5717594,"R",0,"R",0,"R",0,"R",5717594,"R",280000,"R",3153703,"R",591527,"R",32433,"R",0,"R",4057663,"R",814676,"R",7906395,"R",5294763,"R",11914,"R",2623546,"R",3094048,"R",0,"R",5717594,"R",1953360,"R",116807,"R",17120,"R",0,"R",0,"R",1270972,"R",3358259,"R",1270972,"R",0,"R",1270972,"R",7732340,"R",7732340,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",174055,"R",174055,"R",0,"R",0,"R",7906395,"R",7906395,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",7906395,"R",7906395,"R",0,"R",0,"R",2079489,"R",1157074,"R",0,"R",0,"R",0,"R",0,"R",277148,"R",180479,"R",1628425,"R",568071,"R",936306,"R",305323,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",373395,"R",37243,"R",5294763,"R",2248190,"R",379312,"R",153783,"R",90110,"R",0,"R",2423368, 2,"A",,"A",
101435,"R",50818280,"R",29298003,"R",0,"R",86309501,"R",26153792,"R",22307594,"R",9068001,"R",51087708,"R",47866409,"R",3221299,"R",60155709,"R",3049311,"R",45301576,"R",12444843,"R",242677,"R",0,"R",61038407,"R",31740404,"R",23333211,"R",23501092,"R",0,"R",-167881,"R",60323590,"R",0,"R",60155709,"R",2278939,"R",141302,"R",601441,"R",0,"R",3522854,"R",6615272,"R",13159808,"R",10861005,"R",0,"R",10861005,"R",12136759,"R",12136759,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",100375,"R",100375,"R",0,"R",0,"R",751027,"R",751027,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3121244,"R",3096566,"R",24678,"R",0,"R",3096566,"R",3096566,"R",0,"R",0,"R",24678,"R",0,"R",24678,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1966406,"R",1168369,"R",1432035,"R",-633998,"R",0,"R",0,"R",5010539,"R",5010539,"R",0,"R",0,"R",246861,"R",246861,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",23333211,"R",22510496,"R",1456713,"R",-633998,"R",0,"R",1377027,"R",-1377027,"R",0,"R",23333211,"R",23887523,"R",79686,"R",-633998,"R",6485345,"R",3945328,"R",0,"R",0,"R",0,"R",0,"R",2118847,"R",1259483,"R",6843952,"R",3242240,"R",4500819,"R",2000040,"R",3552129,"R",139500,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",23501092,"R",10586591,"R",1999936,"R",1498938,"R",2002019,"R",780147,"R",6633461, 1,"R",51200406,"R",50818280
101453,"R",14434665,"R",2969933,"R",0,"R",18177340,"R",1879885,"R",2634,"R",4412763,"R",11884692,"R",7238397,"R",4646295,"R",16297455,"R",1019751,"R",2689289,"R",3655575,"R",0,"R",0,"R",7364615,"R",4394682,"R",5817221,"R",2995640,"R",-5,"R",2821576,"R",13475879,"R",0,"R",16297455,"R",101175,"R",10218,"Z",0,"Z",0,"R",419969,"Z",0,"R",531362,"R",0,"Z",0,"R",0,"R",239792,"R",239792,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3480902,"R",3009019,"R",114191,"R",357692,"R",3480902,"R",3009019,"R",114191,"R",357692,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1947012,"R",40000,"R",1905810,"R",1202,"Z",0,"Z",0,"R",91003,"R",91003,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",58512,"R",58512,"R",0,"R",0,"R",5817221,"R",3438326,"R",2020001,"R",358894,"R",0,"R",342950,"R",-342950,"Z",0,"R",5817221,"R",3781276,"R",1677051,"R",358894,"R",598113,"R",415310,"R",14435,"Z",0,"R",66250,"Z",0,"R",178452,"R",76575,"R",396591,"R",241441,"R",1623941,"R",714287,"R",117858,"R",24915,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",2995640,"R",1472528,"R",203373,"R",530580,"R",202365,"R",24385,"R",562409, 1,"R",10288695,"R",11825721
101541,"R",15671684,"R",12299297,"R",0,"R",30180424,"R",16210832,"R",0,"R",-1279942,"R",15249534,"R",15249534,"Z",0,"R",13969592,"R",3361217,"R",20905955,"R",6317362,"R",0,"R",0,"R",30584534,"R",18285237,"R",8967188,"R",9634073,"R",-1497971,"R",-2164856,"R",16134448,"R",0,"R",13969592,"R",744078,"R",98169,"R",207468,"R",0,"R",841891,"R",1685083,"R",3576689,"R",2524674,"R",0,"R",2524674,"R",2012505,"R",2012505,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1643597,"R",1132435,"R",0,"R",511162,"R",1643597,"R",1132435,"R",0,"R",511162,"R",0,"R",0,"R",0,"R",0,"R",587619,"R",587619,"R",0,"R",0,"R",530539,"R",29717,"R",0,"R",500822,"R",0,"R",0,"R",2012179,"R",2012179,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",2180749,"R",2180749,"R",0,"R",0,"R",8967188,"R",7955204,"Z",0,"R",1011984,"R",0,"R",0,"Z",0,"Z",0,"R",8967188,"R",7955204,"R",0,"R",1011984,"R",3713889,"R",2320278,"R",0,"R",0,"R",102738,"R",48574,"R",906704,"R",505112,"R",1295589,"R",649565,"R",888438,"R",571452,"R",1903616,"R",323069,"R",0,"R",0,"R",0,"R",0,"R",0,"R",823099,"R",0,"R",9634073,"R",4418050,"R",974258,"R",979670,"R",823099,"R",773161,"R",1665835, 1,"R",15388964,"R",15479806
101675,"R",23273985,"R",49206334,"R",0,"R",92185920,"R",34648126,"R",32906570,"R",53868542,"R",3669252,"R",2711334,"R",957918,"R",57537794,"R",5918952,"R",69976824,"R",18910551,"R",4419700,"R",0,"R",99226027,"R",50019693,"R",31247887,"R",31194649,"R",0,"R",53238,"R",57484556,"R",0,"R",57537794,"R",7729981,"R",3073690,"R",667989,"R",0,"R",659713,"R",3684194,"R",15815567,"R",4658700,"R",0,"R",4658700,"R",7463738,"R",7463738,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13529085,"R",13529085,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2215705,"R",2215705,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2215705,"R",2215705,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1623169,"R",1623169,"R",0,"R",0,"R",0,"R",0,"R",5748201,"R",5748201,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",667989,"R",667989,"R",0,"R",0,"R",31247887,"R",31247887,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",31247887,"R",31247887,"R",0,"R",0,"R",5373971,"R",4352636,"R",0,"R",0,"R",3655,"R",2250,"R",2720742,"R",2097933,"R",6675794,"R",3532692,"R",5124721,"R",2321075,"R",2668201,"R",86347,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8627565,"R",5740065,"R",31194649,"R",18132998,"R",1926327,"R",5740065,"R",1408960,"R",1478540,"R",2507759, 1,"R",21675239,"R",23273985
101693,"R",16454881,"R",40021027,"R",0,"R",69294728,"R",40017873,"R",34173821,"R",5122437,"R",24154418,"R",18859024,"R",5295394,"R",29276855,"R",1103078,"R",60110757,"R",13762860,"R",0,"R",1050817,"R",76027512,"R",36006485,"R",27842301,"R",31108237,"R",0,"R",-3265936,"R",32542791,"R",0,"R",29276855,"R",2701683,"R",125836,"R",712913,"R",0,"R",2332413,"R",11569381,"R",17442226,"R",14012930,"R",0,"R",14012930,"R",14308434,"R",14308434,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",231791,"R",231343,"R",448,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6581548,"R",1788417,"R",4663085,"R",130046,"R",4718776,"R",1788417,"R",2800313,"R",130046,"R",1862772,"R",0,"R",1862772,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",573785,"R",29843,"R",429696,"R",114246,"R",0,"R",0,"R",5798384,"R",5798384,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",348359,"R",488681,"R",-143322,"R",3000,"R",27842301,"R",22645102,"R",4949907,"R",247292,"R",0,"R",7215335,"R",-6225335,"R",-990000,"R",27842301,"R",29860437,"R",-1275428,"R",-742708,"R",10949920,"R",6244621,"Z",0,"Z",0,"Z",0,"Z",0,"R",862405,"R",363124,"R",3032258,"R",1307905,"R",7082163,"R",2164939,"R",9181491,"R",960003,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",31108237,"R",11040592,"R",3672860,"R",3860815,"R",2424821,"R",2091913,"R",8017236, 1,"R",22606173,"R",17303532
101912,"R",25126437,"R",48624754,"R",0,"R",101474881,"R",16741379,"R",8316721,"R",55874697,"R",28858805,"R",0,"R",28858805,"R",84733502,"R",5595127,"R",70590141,"R",32561718,"R",0,"R",1929409,"R",110676395,"R",62051641,"R",57079560,"R",55566100,"R",0,"R",1513460,"R",83220042,"R",0,"R",84733502,"R",3556267,"R",598589,"R",63503,"R",0,"R",9201778,"R",123634,"R",13543771,"R",6997395,"R",6546376,"R",13543771,"R",23316539,"R",23316539,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6606432,"R",0,"R",6606432,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6919031,"R",1154758,"R",5764273,"R",0,"R",2615221,"R",1154758,"R",1460463,"R",0,"R",4303810,"R",0,"R",4303810,"R",0,"R",7308638,"R",7308638,"Z",0,"Z",0,"R",1041090,"R",539068,"R",502022,"Z",0,"R",312015,"R",312015,"R",8777169,"R",8777169,"R",0,"R",0,"R",689005,"R",689005,"Z",0,"Z",0,"R",2109641,"R",1678645,"R",430996,"R",0,"R",57079560,"R",43775837,"R",13303723,"R",0,"R",0,"R",11723107,"R",-11723107,"R",0,"R",57079560,"R",55498944,"R",1580616,"R",0,"R",11789090,"R",7660123,"R",723744,"R",318495,"R",148201,"R",49312,"R",4213967,"R",1800486,"R",5089194,"R",1836066,"R",12161990,"R",4560256,"R",5474247,"R",612461,"R",0,"R",0,"R",0,"R",1100356,"R",415342,"R",14865311,"R",0,"R",55566100,"R",17252541,"R",7897427,"R",4135022,"R",3868023,"R",315890,"R",22097197, 1,"R",17659346,"R",19744545
